id,exercise_name,category,equipment,difficulty,target_muscle,calories_per_min,injury_risk_factor
1,Barbell Dumbbell Curl Variation 1,Core,Barbell,Advanced,Chest,6.52,0.306
2,Cable Calf Raise Variation 2,Core,Cable,Beginner,Legs,7.91,0.607
3,Machine Dumbbell Curl Variation 3,Core,Machine,Beginner,Chest,3.26,0.382
4,Cable Plank Variation 4,Core,Cable,Intermediate,Core,6.58,0.444
5,Dumbbell Deadlift Variation 5,Endurance,Dumbbell,Intermediate,Shoulders,3.15,0.172
6,Barbell Dumbbell Curl Variation 6,Power,Barbell,Intermediate,Shoulders,7.50,0.197
7,Machine Lat Pulldown Variation 7,Core,Machine,Advanced,Legs,5.39,0.559
8,Machine Deadlift Variation 8,Strength,Machine,Advanced,Back,11.17,0.171
9,Cable Calf Raise Variation 9,Strength,Cable,Beginner,Chest,9.81,0.687
10,Barbell Lunge Variation 10,Strength,Barbell,Beginner,Full Body,10.62,0.798
11,Bodyweight Dumbbell Curl Variation 11,Core,Bodyweight,Advanced,Arms,4.20,0.806
12,Kettlebell Tricep Extension Variation 12,Core,Kettlebell,Elite,Chest,6.30,0.162
13,Machine Crunch Variation 13,Strength,Machine,Intermediate,Back,8.84,0.206
14,Dumbbell Leg Press Variation 14,Power,Dumbbell,Advanced,Chest,5.66,0.686
15,Bodyweight Leg Press Variation 15,Core,Bodyweight,Beginner,Core,6.41,0.334
16,Bodyweight Lunge Variation 16,Power,Bodyweight,Advanced,Back,4.28,0.395
17,Dumbbell Tricep Extension Variation 17,Hypertrophy,Dumbbell,Advanced,Chest,10.32,0.753
18,Machine Plank Variation 18,Strength,Machine,Advanced,Legs,8.46,0.502
19,Bodyweight Overhead Press Variation 19,Core,Bodyweight,Advanced,Arms,9.97,0.236
20,Bodyweight Overhead Press Variation 20,Power,Bodyweight,Elite,Chest,7.84,0.364
21,Kettlebell Cable Fly Variation 21,Strength,Kettlebell,Intermediate,Full Body,11.92,0.498
22,Machine Bench Press Variation 22,Rehab,Machine,Advanced,Arms,9.17,0.495
23,Cable Deadlift Variation 23,Core,Cable,Advanced,Arms,7.27,0.581
24,Barbell Plank Variation 24,Core,Barbell,Advanced,Arms,11.08,0.828
